username,content
Della_JKT48,"Hallo mau pergi makan bbq sama adik aku..sudahlama ga makan gtu gtuan,sekalian perbaikan gizi juga"
Della_JKT48,Kenyang sekali hari ini makan 5x trus sekarang sudah merasa ngantuk &gt;_&lt; Aku bobo dluan yah gbu
Della_JKT48,@Sisil_JKT48 tapi traktirnya jangan yg berbentuk nasi lemak2 an minyak2an yah
Della_JKT48,Traktir mam aku yuk
Della_JKT48,Ohiya Jadi gimana hari iniii ? udah makan belom? Udah senang belom? Hahaha smoga ttep denang dancsukacita yah kaka kaka
Della_JKT48,Kurusan gara2 gaketemu nasi bakso sma mi instan sama bbq angaahhaha Tapi skg sudah menggendut krna udah mkn smuanya
Della_JKT48,Smua karna ga main sma devils
Della_JKT48,Iya sama kaya umur
Della_JKT48,Pingin bakso kuah sma mie goreng instan.. Aduduh~~
Della_JKT48,Selamat hari cayang menyayang
Della_JKT48,Hello there ??
Della_JKT48,Padahal pertama makan bilangnya enak nihhh bagus buat kesehatan dan kulit yg kusam ini.ternyata berpihak ke hal lain
Della_JKT48,"Kalo aku,Tadi makan kerang dara Terus direbusnya emang mentah gitu modelnya..abis itu enek sendiri karna kerasa kaya makan blood"
Della_JKT48,"Hayyy,gimana hari ini? Seru yah pasti Semangat yah besok aktifitasnyaa Smoga menyenagkan dancmembahagiakan"
Della_JKT48,Happy sunday
Della_JKT48,Ada apa dengan devils attack hari ini ? @Via_JKT48 @Sisil_JKT48
Della_JKT48,Halloooo semangat yah jumat nyaaa Uwuwuw Jangan lupa makan trus minum trus senang yah
Della_JKT48,@Via_JKT48 @Nadila_JKT48 jangan mau nad jadi anaknya bundo:(
Della_JKT48,Biasaaa ..kalo pemerhati diam2 emg gitu tsundere
Della_JKT48,Sebentar lagi handshake nihhh &gt;_&lt; jangan lupa hs sama dela wanita sok pinter tapi cantik dan menggemaskan uwuwuw
Della_JKT48,Kan langsung ngetweetny sok gaul gtu ahha Emang della tuh vitamin smua org yg lagi sedih #pedeitubaik Haah Gimana hari ini? R u ok?
Della_JKT48,Y bwl
